ID,CG1,CG2,KG1,KG2,AFI,AFI_TSID,TS_ID,GOUT_TSID,GLACIER_STORAGE,INITIAL_AFI_DECAY_PARAMETER,TIME_STEP
SUDA2UG,-6,0.01,0.05,0.15,0.95,SUDA2UGF,SUDA2UG,SUDA2UG,8.3,9.5,6
SUDA2LG,-5,0.01,0.05,0.25,0.95,SUDA2LGF,SUDA2LG,SUDA2LG,5,19.2,6
MACA2LG,-2,0.01,0.05,0.18,0.95,MACA2LGF,MACA2LG,MACA2LG,0.7,31.8,6
MACA2UG,-3,0.01,0.05,0.12,0.95,MACA2UGF,MACA2UG,MACA2UG,4.1,19.2,6
CLTA2GL,-5,0.01,0.05,0.2,0.95,CLTA2FAI,CLTA2GL,CLTA2GL,9,14.6,6
TRTA2GL,-5,0.01,0.05,0.2,0.95,TRTA2FAI,TRTA2GL,TRTA2GL,8.6,23.8,6
MATA2LG,-7,0.01,0.25,0.25,0.95,MATA2LGF,MATA2LG,MATA2LG,20.8,49.4,6
MATA2UG,-8,0.1,0.25,0.35,0.9,MATA2UGF,MATA2UG,MATA2UG,24.5,26.2,6
SKWA2LG,-4,0.01,0.05,0.45,0.95,SKWA2LGF,SKWA2LG,SKWA2LG,4,68.1,6
SKWA2UG,-6,0.01,0.05,0.15,0.95,SKWA2UGF,SKWA2UG,SKWA2UG,3.3,3.4,6
YLKA2LG,-4,0.01,0.05,0.45,0.95,YLKA2LGF,YLKA2LG,YLKA2LG,6.2,47.1,6
YLKA2UG,-6,0.01,0.05,0.15,0.95,YLKA2UGF,YLKA2UG,YLKA2UG,13,14.1,6
YSSA2LG,-4,0.01,0.05,0.45,0.95,YSSA2LGF,YSSA2LG,YSSA2LG,8.1,17.3,6
YSSA2UG,-6,0.01,0.05,0.15,0.95,YSSA2UGF,YSSA2UG,YSSA2UG,6.4,6.9,6
LSUA2GL,-5,0.01,0.05,0.2,0.95,LSUA2FAI,LSUA2GL,LSUA2GL,4.9,18,6
KNKA2GL,-5,0.01,0.05,0.2,0.95,KNKA2FAI,KNKA2GL,KNKA2GL,4.9,18,6
MCGA2GL,-4,0.01,0.05,0.5,0.95,MCGA2FAI,MCGA2GL,MCGA2GL,9,14.6,6
CJXA2GL,-4,0.01,0.05,0.5,0.95,CJXA2FAI,CJXA2GL,CJXA2GL,9,14.6,6
BRINGL,-13,0.01,0.85,1,0.95,BRINFAI,BRINGL,BRINGL,0,0,6
