ID,REXP,LZPK,LZFPM,PXADJ,RCI,PFREE,ZPERC,RIVA,MAPE_Input,SASC_INPUT,PEADJ,LZTWM,RSERV,ADIMP,UZK,SIDE,LZFSM,LZSK,UZTWM,UZFWM,PCTIM,EFC,JAN_ETD,FEB_ETD,MAR_ETD,APR_ETD,MAY_ETD,JUN_ETD,JUL_ETD,AUG_ETD,SEP_ETD,OCT_ETD,NOV_ETD,DEC_ETD
UCHA2UPR,3.5,0.0095,77,1,6,0.5,90,0,FALSE,TRUE,1,35,0.3,0.03,0.25,0,45,0.09,15,18,0,0,0,0,0,0.3,0.9,1.7,1.4,0.8,0.4,0.1,0,0
UCHA2LWR,4.5,0.0095,77,1,6,0.5,70,0,FALSE,TRUE,1,30,0.3,0.04,0.35,0,45,0.05,18,17,0,0.9,0,0,0,0.6,1.7,3.2,2.7,1.7,1,0.2,0,0
CHLA2UPR,5,0.0085,62,1,6,0.8,130,0,FALSE,TRUE,1,20,0.3,0.03,0.25,0,65,0.06,18,10,0.03,0.7,0,0,0,0.6,1.8,3,2.6,1.4,0.8,0.2,0,0
CHLA2LWR,5,0.0085,62,1,6,0.8,130,0,FALSE,TRUE,1,20,0.3,0.03,0.25,0,65,0.06,18,10,0.03,0.7,0,0,0,0.6,1.8,3,2.6,1.4,0.8,0.2,0,0
CRHA2LWR,4.5,0.0095,77,1,6,0.5,70,0,FALSE,TRUE,1,18,0.3,0.04,0.35,0,45,0.05,18,17,0.04,0.9,0,0,0,0.6,1.8,3.4,2.8,1.6,0.8,0.2,0,0
CRHA2UPR,3.5,0.0095,45,1,6,0.5,90,0,FALSE,TRUE,1,35,0.3,0.03,0.25,0,45,0.09,15,18,0.02,0,0,0,0,0.4,1.2,2.3,1.9,1.1,0.5,0.1,0,0
MCDA2LOC,1.8,0.0045,150,1,6,0.5,150,0,FALSE,TRUE,1,17,0.3,0.05,0.3,0,75,0.05,4.8,45,0.05,1,0,0,0,0.7,2.2,4.1,3.4,1.9,1,0.2,0,0
SALA2LWR,3.5,0.006,112,1,6,0.5,35,0,FALSE,TRUE,1,88,0.3,0.08,0.4,0,53,0.08,30,10,0.004,0.8,0,0,0,0.6,1.8,3.4,2.8,1.6,0.8,0.2,0,0
SALA2UPR,2.2,0.005,92,1,6,0.2,40,0,FALSE,TRUE,1,82,0.3,0.05,0.25,0,57,0.09,25,7,0.002,0,0,0,0,0.2,0.7,1.4,1.1,0.6,0.3,0.1,0,0
KUPA2LWR,1.8,0.0095,5,1,0,0.3,15,0,0,TRUE,1,2,0.3,0.02,0.4,0,45,0.09,10,30,0.02,0,0,0,0,0,0.3,2.3,2.7,1.8,0.2,0,0,0
KUPA2UPR,1.8,0.0095,5,1,0,0.3,15,0,0,TRUE,1,2,0.3,0.02,0.4,0,45,0.09,10,30,0.02,0,0,0,0,0,0.2,2.3,2.5,1.6,0.1,0,0,0
SGRA2LWR,1.8,0.0095,85,1,0,0.3,15,0,0,TRUE,1,2,0.3,0.1,0.4,0,55,0.09,7,10,0.06,0,0,0,0,0,0.3,0.8,1.3,0.6,0.1,0,0,0
SGRA2UPR,1.8,0.0095,50,1,0,0.2,15,0,0,TRUE,1,2,0.3,0.08,0.4,0,30,0.09,2,5,0.04,0,0,0,0,0,0,0.5,1,0.8,0,0,0,0
