id,UG,NG,LG,GL,UPR,MID,LWR,LOC,RTD_UP1,RTD_UP2,RTD_UP3,RTD_UP4
UCHA2,,,,,UCHA2UPR,,UCHA2LWR,,,,,
CHLA2,,,,,CHLA2UPR,,CHLA2LWR,,,,,
CRHA2,,,,,CRHA2UPR,,CRHA2LWR,,UCHA2,,,
MCDA2,,,,,,,MCDA2LOC,MCDA2LOC,CRHA2,,,
CHFA2,,,,,,,,CHFA2LOC,CHLA2,MCDA2,,
SALA2,,,,,SALA2UPR,,SALA2LWR,,,,,
GBDA2,,,,,GBDA2UPR,,GBDA2LWR,,,,,
KUPA2,,,,,KUPA2UPR,,KUPA2LWR,,,,,
SGRA2,,,,,SGRA2UPR,,SGRA2LWR,,,,,
CRUA2,,,,,CRUA2UPR,CRUA2MID,CRUA2LWR,,,,,
WULA2,,,,,WULA2UPR,,WULA2LWR,,,,,
ABLA2,,,,,ABLA2UPR,,ABLA2LWR,,,,,
KIAA2,,,,,KIAA2UPR,,KIAA2LWR,,ABLA2RTD,,,
CLTA2,,,,CLTA2GL,CLTA2UPR,,CLTA2LWR,,,,,
GCSA2,,,,,GCSA2UPR,,GCSA2LWR,GCSA2LOC,SUCA2,,,
KNKA2,,,,KNKA2GL,KNKA2UPR,,KNKA2LWR,,,,,
LSHA2,,,,,LSHA2UPR,,LSHA2LWR,,LSUA2,,,
LSUA2,,,,LSUA2GL,LSUA2UPR,,LSUA2LWR,,,,,
MACA2,MACA2UG,,MACA2LG,,MACA2UPR,,MACA2LWR,,,,,
MATA2,MATA2UG,,MATA2LG,,MATA2UPR,,MATA2LWR,,,,,
MONA2,,,,,MONA2UPR,,MONA2LWR,,,,,
SKWA2,SKWA2UG,,SKWA2LG,,SKWA2UPR,,SKWA2LWR,,,,,
SUCA2,,,,,SUCA2UPR,,SUCA2LWR,SUCA2LOC,MACA2,SUDA2,,
SUDA2,SUDA2UG,,SUDA2LG,,SUDA2UPR,,SUDA2LWR,,,,,
SUNA2,,,,,,,,SUNA2LOC,TRTA2,CLTA2,GCSA2,
TRTA2,,,,TRTA2GL,TRTA2UPR,,TRTA2LWR,,,,,
WILA2,,,,,,,,WILA2LOC,WLWA2,,,
WLWA2,,,,,WLWA2UPR,,WLWA2LWR,,,,,
YLKA2,YLKA2UG,,YLKA2LG,,YLKA2UPR,,YLKA2LWR,,SKWA2,,,
YSSA2,YSSA2UG,,YSSA2LG,,YSSA2UPR,,YSSA2LWR,YSSA2LOC,YLKA2,,,
MCGA2,,,,MCGA2GL,MCGA2UPR,,MCGA2LWR,,,,,
KLCA2,,,,,KLCA2UPR,,KLCA2LWR,,MCGA2RTD,,,
CJXA2,,,,CJXA2GL,CJXA2UPR,,CJXA2LWR,,KLCA2RTD,,,
ANKA2,,,,,ANKA2UPR,,ANKA2LWR,,CJXA2RTD,,,
BRIN,,BRINNG,,BRINGL,,,,,,,,
