id,name,GAGEMIN,ACTION,FS,MOD,MAJOR,RECORD,GAGELIMIT
ALKA2,Alsek River nr Yakutat,,85,88,90,92,,
ALEA2,Alsek River at Dry Bay,,85,88,90,92,89.52,
ALLA2,Allakaket,,23,26,28,30,35.6,
ALSQ9,Alsek River above Bates River,,31.5,32.5,34,,34,
APBA2,Anchor River at Anchor Point,,15.5,15.5,17,18,19.15,
APTA2,Anchor River at New Sterling Hwy,,7,8,9,11,10.86,
BCTA2,Birch Creek nr Miller House,,46,47.5,49,,48.14,
BGDA2,Tanana River at Big Delta,,21.5,23,25,27,,
BTTA2,Koyukuk River nr Bettles,,24,33,35,37,,
BVRA2,Yukon River at Beaver,,36,,,,,
CHAA2,Chatanika River at Elliot Hwy Bridge,,11,13,,,,
CHFA2,Chena River at Fairbanks,,11,12,14,16,18.82,
CHLA2,Little Chena River nr Fairbanks,,23,25,26,32,31.95,
CHRA2,Chester Creek at Arctic Blvd,,3.3,4,5,6,5.88,
CJXA2,Kuskokwim at Crooked Creek,,19,,,,,
CIRA2,Yukon River at Circle,,20,25,27,29,,
CKTA2,Chilkat River at Klukwan,,127,128,129,130.5,127.97,
CLTA2,Chulitna River nr Talkeetna,,13,19,23,26.7,,
COOA2,Kenai River at Cooper Landing,,12,13,15.5,16.5,17.18,
CRHA2,Chena River blw Hunts Creek,,15.2,17.2,,,,
CRNA2,Chisana River at Northway,,12,12.5,,,13.85,
CRSA2,Chatanika River at Steese Hwy Bridge,,10.5,12,13,15,12.5,
CRUA2,Colville River at Umiat,,57.5,59,,,59.05,
CSRA2,Campbell Creek at Canyon Mouth,,3.7,4.3,5,6,4.84,
ENNA2,Tanana River at Nenana,,11,12.5,14,16,18.9,
ERBA2,Eagle River at Glenn Hwy,,7.0,8.0,,,11,
EYAA2,Eyak River at Copper Riv Hwy,,24.5,25.5,,,,
FCKA2,Fish Creek nr Ketchikan,,4,4.5,5,,,
FMKA2,Walker Fork 40 Mile at Taylor Hwy,,15,16,17,,,
FMMA2,Mosquito Fork 40 Mile at Taylor Hwy,,22,24,27,,,
FMRA2,Fortymile River at Taylor Hwy,,86,90,94,,,
FMSA2,South Fork 40 Mile at Taylor Hwy,,97,98,,,,
FMWA2,West Fork of the Denn. Fk of the 40mile @ Taylor,,12,21,,,,
GAKA2,Gakona River nr Gakona,,8,10,13,,9.4,
GBDA2,Goodpaster River nr Big Delta,,19,19.5,21.5,,20.77,
GCSA2,Susitna River at Gold Creek,,12.5,14,15.5,,18.3,
GRSA2,Gulkana River at Sourdough,,9.5,11,12,,16.03,
GULA2,Gulkana River nr Gulkana,,9,10,10.5,,12.13,
GYRA2,Yukon River at Galena,,119,124,126,128,,
HNRA2,Nenana River at Healy,,14,16,18,20,14.4,
ILRA2,Iliamna River near Pedro Bay,,71,72.5,75,,78.42,
ISKQ2,Iskut River blw Johnson R,,14,17,20,,23.2,
JDCA2,Jordan Creek nr below Egan Drive near Auke Bay,,6.8,7.3,8,9,7.59,
JRDA2,Jordan Creek nr Juneau,,9.2,9.7,10.5,,9.96,
KDKA2,Terror River nr Kodiak,,4,5,7,,7.67,
KEYA2,Kenai River at Kenai Keys,,10,11,12.5,14,15.52,
KLNQ9,Klondike River nr Dawson,,7.5,9,10,,,
KLUA2,Klutina River at Copper Center,,12.5,14,15,,13.04,
KRHA2,Koyukuk River at Hughes,,62,64,67,70,71.8,
KRKA2,Kenai River blw Mouth Killey River,,11.7,13.2,15,16.5,13.52,
KUPA2,Kuparuk River nr Deadhorse,,34,35.5,37,,37.6,
LSHA2,Little Susitna at Houston,,9,11,12,13,13.95,
LSOA2,Little Su at Hatcher Pass Bridge,,9,10,,,12.45,
LSUA2,Little Su blw Hatcher Pass Bridge,,6,6.5,7.8,8.7,9,
MACA2,Maclaren River at Denali Highway,,5.5,6.5,7.5,,8.24,
MATA2,Matanuska at Palmer,,30000,35000,,,46000,
